Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
54,Toni Borevkovic,hr CRO,DF,Vit�ria,27-179,1997,11,11,980,10.9,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.00,0.03,0.03,0.00,0.03,0.37,2.48,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
55,Daniel Borges,br BRA,"MF,FW",Santa Clara,21-252,2003,2,0,22,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.50,0.00,0.50,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.40,0.40,Matches
56,Gon�alo Borges,pt POR,FW,Porto,23-260,2001,9,1,141,1.6,0.00,0.63,0.63,0.00,0.00,0.00,1.25,0.00,0.13,0.13,0.69,0.81,6.88,1.25,17.5,0.00,0.64,0.64,0.00,0.64,0.12,0.70,0.82,0.12,0.82,Matches
57,R�bert Bo�en�k,sk SVK,FW,Boavista,25-026,1999,13,13,1.157,12.9,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.29,0.29,0.00,0.29,0.54,1.63,4.88,0.00,0.00,0.00,0.00,0.00,0.29,0.00,0.29,0.29,0.29,Matches
58,Daniel Bragan�a,pt POR,MF,Sporting CP,25-201,1999,13,10,851,9.5,0.32,0.32,0.63,0.32,0.00,0.00,0.32,0.00,0.27,0.27,0.15,0.42,1.16,7.79,3.58,0.32,0.32,0.63,0.32,0.63,0.27,0.15,0.42,0.27,0.42,Matches
59,Bruno Brigido,br BRA,GK,Estrela,33-280,1991,13,13,1.125,12.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
60,Rafael Brito,pt POR,MF,Casa Pia,22-330,2002,10,5,430,4.8,0.00,0.21,0.21,0.00,0.00,0.00,0.63,0.00,0.00,0.00,0.04,0.04,0.21,3.13,1.25,0.00,0.21,0.21,0.00,0.21,0.01,0.04,0.05,0.01,0.05,Matches
61,Bruma,pt POR,"FW,MF",Braga,30-051,1994,11,7,698,7.8,0.64,0.51,1.15,0.38,0.26,0.38,0.13,0.00,0.76,0.45,0.54,0.99,3.72,4.74,8.97,0.64,0.52,1.16,0.39,0.90,0.76,0.54,1.30,0.45,1.00,Matches
62,Jonathan Buatu Mananga,ao ANG,DF,Gil Vicente FC,31-078,1993,12,11,1.014,11.3,0.00,0.09,0.09,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.04,0.06,0.53,2.74,0.00,0.00,0.09,0.09,0.00,0.09,0.03,0.04,0.06,0.03,0.06,Matches
63,Leonel Bucca,ar ARG,"MF,FW",Estrela,25-269,1999,12,8,596,6.6,0.30,0.00,0.30,0.30,0.00,0.00,0.45,0.00,0.23,0.23,0.08,0.30,0.76,3.18,2.42,0.30,0.00,0.30,0.30,0.30,0.23,0.08,0.31,0.23,0.31,Matches
64,Adri�n Butzke,es ESP,FW,Nacional,25-259,1999,10,5,484,5.4,0.00,0.19,0.19,0.00,0.00,0.00,0.37,0.00,0.31,0.31,0.07,0.39,0.74,2.41,4.63,0.00,0.19,0.19,0.00,0.19,0.31,0.08,0.39,0.31,0.39,Matches
65,Arthur Cabral,br BRA,FW,Benfica,26-233,1998,10,0,119,1.3,0.77,0.00,0.77,0.77,0.00,0.00,0.00,0.00,0.38,0.38,1.08,1.46,0.77,0.00,7.69,0.76,0.00,0.76,0.76,0.76,0.40,1.06,1.46,0.40,1.46,Matches
66,Jovane Cabral,cv CPV,"FW,MF",Estrela,26-183,1998,9,7,478,5.3,0.00,0.19,0.19,0.00,0.00,0.19,0.00,0.00,0.26,0.11,0.11,0.23,2.08,3.58,4.72,0.00,0.19,0.19,0.00,0.19,0.26,0.12,0.38,0.11,0.23,Matches
67,Lucas Calegari,br BRA,DF,Famalic�o,22-291,2002,13,13,1.102,12.2,0.00,0.08,0.08,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.05,0.06,1.07,2.21,3.28,0.00,0.08,0.08,0.00,0.08,0.01,0.05,0.06,0.01,0.06,Matches
68,Diogo Calila,pt POR,"MF,DF",Santa Clara,26-065,1998,12,8,681,7.6,0.13,0.13,0.26,0.13,0.00,0.00,0.53,0.00,0.05,0.05,0.09,0.14,1.05,2.89,5.53,0.13,0.13,0.26,0.13,0.26,0.06,0.09,0.14,0.06,0.14,Matches
69,Ibrahima Camar�,gn GUI,MF,Boavista,25-324,1999,12,10,744,8.3,0.00,0.00,0.00,0.00,0.00,0.00,0.36,0.00,0.01,0.01,0.02,0.02,0.24,3.37,0.24,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.02,0.01,0.02,Matches
70,Andr� Candeias,pt POR,"FW,MF",Farense,21-329,2003,2,0,35,0.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.25,0.00,0.25,5.00,2.50,22.5,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.20,0.20,0.20,Matches
71,Z� Carlos,pt POR,MF,Vit�ria,23-045,2001,4,0,31,0.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.0,13.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
72,Z� Carlos,pt POR,DF,Gil Vicente FC,26-136,1998,11,11,955,10.6,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.02,0.02,0.06,0.08,1.32,3.68,2.36,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.08,0.02,0.08,Matches
